noserie,vitessecd,memoire,slotram,slotramlibre,cpu,hdd,ip,codos_installer,codos_etiquette
7NR0S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
7rk62b1,48,2560,NULL,NULL,"P4 2.8 GHZ","80 GO",,W07,WXP
7XYG942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
7XZG942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
7YCG942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
7YDJ942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
7YHJ942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
7YJG942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
7YJH942,48,16,NULL,NULL,"Intel i7",500,,W07,W07
80qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
83JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
8712YC1,NULL,NULL,NULL,NULL,,,,VIS,VIS
87t2cz1,48,16000,NULL,NULL,"INTEL I7","250 GO",,W07,W07
87t3cz1,NULL,NULL,NULL,NULL,"INTEL CORE I7",,,VIS,VIS
88027434h,48,2048,NULL,NULL,"CORE 2 DUO","200 GO",,WXP,WXP
89024772h,48,2048,NULL,NULL,"CORE 2 DUO",200GO,,WXP,VIS
897ZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
89C50P1,NULL,6000,NULL,NULL,"i5 M520 2.4Ghz",250,,W07,W07
8BC50P1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",320Go,,W07,W07
8f5skb1,48,1024,NULL,NULL,,,,W07,WXP
8jpddc1,48,1024,NULL,NULL,"CORE 2 DUO",80GO,,W07,WXP
8mk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
8yr2qd1,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
8znhx11,48,1024,NULL,NULL,"P4 1.8ghz","40 GO",,WXP,WXP
8zpts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
90qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
92TZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
94GQQM1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",320Go,,W07,W07
97060545h,48,2048,NULL,NULL,"INTEL CORE2 DUO","120 GO",,WXP,VIS
98024731H,NULL,NULL,NULL,NULL,"INTEL CENTRINO 2",,,W07,VIS
9HCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
9LL0S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
9m5hfc1,48,2048,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
9n7chb1,NULL,NULL,NULL,NULL,,,,VIS,VIS
9nk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
9pk62b1,48,1024,NULL,NULL,P4,"80 GO",,WXP,WXP
9qk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
9tk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
9XJ1921,48,1024,NULL,NULL,"P4 1.8ghz",40,,WXP,WXP
9YNZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
9zpts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
b8r5y91,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
BBC50P1,NULL,3072,NULL,NULL,"i5 M520 2.4Ghz",250Go,,W07,W07
bc5hfc1,48,2560,NULL,NULL,"INTEL CORE 2",80,,W07,WXP
BCJZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
bl5hfc1,48,2560,NULL,NULL,"CORE 2 CPU",80GO,,W07,WXP
bpbvw31,48,1024,NULL,NULL,"P4 2.4GHZ","40 GO",,WXP,WXP
BQCZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
bsk62b1,48,2048,NULL,NULL,P4,"80 GO",,W07,WXP
BSN2S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
BZD0S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
c0qts81,48,1024,NULL,NULL,"P4 2.8 GHZ",148GO,,W07,WXP
C2JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
C6K1S32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
C8C50P1,NULL,3000,NULL,NULL,"i5 M520 2.4Ghz","250 Go",,W07,W07
C9JZR32,48,8000,NULL,NULL,"Intel i5",500,,W07,W07
cac7220087,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac722008j,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac7220096,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac722015z,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac722016h,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac722016j,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac722016s,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac7220174,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
CAC72300RY,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac72300wc,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
cac72403hn,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
CAC72403PD,48,2048,NULL,NULL,"INTEL CORE 2 DUO","80 GO",,W07,WXP
